CRN,Sub,Num,Seq,Crd,Desc,Seats,Waitlist,Days,Time,Room,Faculty
53552,CSC,404,DT1,3,Foundation of Computation,3/25,0,,,,Mark A Spanier
55829,CSC,409,DT1,3,Operating Environments,8/25,0,,,,Brent L Tulloss
55271,CSC,420,DT1,3,Cellular and Mobile Communications,8/25,0,,,,Kyle L Cronin
50417,CSC,428,DT1,3,Reverse Engineering,15/25,0,,,,Andrew W Kramer
52662,CSC,432,DT1,3,Malware Analysis,12/25,0,,,,Michael J Ham
53737,CSC,436,DT1,3,Offensive Network Security,8/25,0,,,,Tyler Jerome Flaagan
50418,CSC,437,DT1,3,Survey of Enterprise Systems,4/25,0,,,,Jackson Gregory Heiberger
50420,CSC,438,DT1,3,Defensive Network Security,1/25,0,,,,Cody Michael Welu
50427,CSC,456,DT1,3,Operating Systems,0/25,0,,,,John D Hastings
53152,CSC,456,DT2,3,Operating Systems,23/25,0,,,,
50494,CSC,494,DZ1,1 TO 8,Internship,3/15,0,,,,Kathy Engbrecht
50428,CSC,498,DT1,3,Research,24/25,0,,,,Tom L Halverson
55348,CSC,528,DT1,3,Reverse Engineering,23/25,0,,,,Andrew W Kramer
56571,CSC,609,DT1,3,Operating Environments,25/25,0,,,,Brent L Tulloss
56601,CSC,626,DT1,3,Computer Programming for Educators,16/25,0,,,,
56602,CSC,683,DT1,3,Cybersecurity Practicum,21/25,0,,,,
50044,CSC,705,DT1,3,Design and Analysis of Computer Algorithms,6/25,0,,,,Austin F O'Brien
54383,CSC,712,DT1,3,Data Structures,13/25,0,,,,Jason Mixon
56570,CSC,732,DT1,3,Assembly Language,5/25,0,,,,Andrew W Kramer
56610,CSC,761,DT1,3,Advanced Artificial Intelligence,19/25,0,,,,
51574,CSC,773,DT1,3,Mobile Communication and Advanced Network Security,1/25,0,,,,Chuck Begian
55446,CSC,792,D01,3,Top: Artificial Intel Research,16/25,0,,,,Mark A Spanier
56202,CSC,794,DZ1,3,Internship,1/1,0,,,,
50018,CSC,842,DT1,3,Security Tool Development,9/25,0,,,,Cody Michael Welu
50019,CSC,844,DT1,3,Advanced Reverse Engineering,2/25,0,,,,Varghese Mathew Vaidyan
55307,CSC,898D,D01,1 TO 12,Dissertation,4/5,0,,,,Chad R Fenner
56697,CSC,898D,D02,1 TO 12,Dissertation,4/5,0,,,,Varghese Mathew Vaidyan
55255,CSC,898D,DT1,1 TO 12,Dissertation,3/5,0,,,,Michael J Ham
55306,CSC,898D,DT2,1 TO 12,Dissertation,4/5,0,,,,Mark A Spanier
55358,CSC,898D,DT3,1 TO 12,Dissertation,4/5,0,,,,Kyle Ronald Korman
55441,CSC,898D,DT4,1 TO 12,Dissertation,3/5,0,,,,John D Hastings
56613,CSC,898D,DT5,1 TO 12,Dissertation,4/5,0,,,,Youssef Harrath
56623,CSC,898D,DT6,1 TO 12,Dissertation,4/5,0,,,,Andrew W Kramer
56642,CSC,898D,DT7,1 TO 12,Dissertation,4/5,0,,,,Bill Bendix
56678,CSC,898D,DT8,1 TO 12,Dissertation,3/5,0,,,,Chad R Fenner
56706,CSC,898D,DT9,1 TO 12,Dissertation,4/5,0,,,,Tyler Jerome Flaagan
51824,CLI,494,DZ1,1 TO 3,Internship,25/25,0,,,,Bill Bendix
54425,DAD,494,DZ1,1 TO 3,Internship,24/25,0,,,,Tate Allen Carson
55876,ECON,202,DT1,3,Principles of Macroeconomics,23/25,0,,,,Daniel A Talley
54685,ECON,330,DT1,3,Money and Banking,22/25,0,,,,Daniel A Talley
50439,EPSY,210,DT1,3,Lifespan Development,13/25,0,,,,Julia Price-Lee
52673,EPSY,302,DT1,3,Educational Psychology,15/25,0,,,,Julia Price-Lee
50470,ELED,412,DT1,3,Kindergarten Education,18/25,0,,,,Katie Lyn Anderson
50489,ELED,462,DT1,3,Teaching English As a New Language,1/25,0,,,,Jennifer Ann Munger
55700,ELED,462,DT2,3,Teaching English As a New Language,0/25,0,,,,Margaret G Pottratz
56037,ELED,462,DT3,3,Teaching English As a New Language,21/25,0,,,,Casey A Elder
56038,ELED,462,DT4,3,Teaching English As a New Language,11/25,0,,,,
56591,ELED,466,DT1,3,"P 12 Curriculum, Instruction, & Assessment for ELL",18/25,0,,,,Casey A Elder
50461,ENGL,101,DT1,3,Composition I,14/25,0,,,,William Christopher Sewell
56010,ENGL,101,DT2,3,Composition I,4/25,0,,,,Thomas M Lawson
50462,ENGL,201,DT1,3,Composition II,0/25,1,,,,William Christopher Sewell
50485,ENGL,201,DT2,3,Composition II,10/25,0,,,,Justin L Blessinger
53510,ENGL,201,DT3,3,Composition II,0/25,2,,,,William Christopher Sewell
55975,ENGL,283,DT1,3,Introduction to Creative Writing,2/25,0,,,,Justin L Blessinger
50433,ENGL,494,DZ1,2,Internship,25/25,0,,,,Tate Allen Carson
56220,EXCH,489,D01,0 TO 18,Student Exchange - International,10/10,0,,,,Nicole M Claussen
56221,EXCH,489,D02,0 TO 18,Student Exchange - International,10/10,0,,,,Nicole M Claussen
56595,EXS,452,DT1,3,Motor Learning & Development,25/25,0,,,,Luke Chowning
51979,EXS,494,DZ1,1 TO 12,Internship,8/10,0,,,,Luke Chowning
55143,EDFN,102,DT1,3,Introduction to Education,11/25,0,,,,Kindra Jon Schneider
55296,EDFN,102,DT2,3,Introduction to Education,6/25,0,,,,Sheila G Mulder
50043,EDFN,300,DT1,3,Principles of Practices of Teaching Middle School,18/25,0,,,,Sheila G Mulder
50457,EDFN,300,DT2,3,Principles of Practices of Teaching Middle School,17/25,0,,,,Betsy Lea Schamber
50430,EDFN,365,DT1,3,Computer-Based Technology and Learning,14/25,0,,,,Megan Nicole Schuh
56080,EDFN,365,DT2,3,Computer-Based Technology and Learning,17/25,0,,,,Megan Nicole Schuh
50445,EDFN,440,DT1,3,Classroom Management,1/25,0,,,,Jennifer Ann Munger
55369,EDFN,440,DT2,3,Classroom Management,12/25,0,,,,Jennifer Ann Munger
56590,EDFN,460,DT1,3,Applying Linguistics to Teaching English as a Second Language,24/25,0,,,,Brandi Lynn Antonsen
50458,EDFN,475,DT1,3,Human Relations,14/25,0,,,,Kindra Jon Schneider
55500,EDFN,475,DT2,3,Human Relations,13/25,0,,,,Kindra Jon Schneider
56577,EDFN,761,DT1,1,Developing Instructional Capacity,20/29,0,,,,Sheila G Mulder
56648,EDFN,761,DT2,1,Developing Instructional Capacity,28/29,0,,,,Katie Lyn Anderson
56649,EDFN,761,DT3,1,Developing Instructional Capacity,29/29,0,,,,Sheila G Mulder
56055,GS,199,0,0,Section Placeholder,25/25,0,,,,
53734,GS,491,DT1,3,IS: Capstone Experience,9/15,0,,,,Viki R Johnson
55123,GEOG,101,DT1,3,Introduction to Geography,22/25,0,,,,Russell Wayne Graves
55121,GEOG,131,DT1,3,Physical Geography: Weather and Climate,0/25,3,,,,Russell Wayne Graves
55122,GEOG,131L,DT1,1,Physical Geography  Weather and Climate Lab,0/25,3,,,,Russell Wayne Graves
50435,HLTH,370,DT1,3,Stress Management,19/25,0,,,,Scott Wayne Klungseth
54891,HLTH,420,DT3,3,K-12 Methods of Health Instruction,20/25,0,,,,Stacy Lynn Anderson
